Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage
Alquiler de Piso en Pedralbes,7500.0,"Les Corts, Barcelona",Profesional,5.0,266.0,exterior,7.0,1.0,Garage included
"Alquiler de Piso en calle de Bordeus, 27",1998.0,"Les Corts, Barcelona",Profesional,1.0,40.0,exterior,Bajo,1.0,
Alquiler de Piso en carretera de Collblanc,1950.0,"La Maternitat i Sant Ramon, Barcelona",Profesional,3.0,75.0,exterior,2.0,1.0,
Alquiler de Piso en calle de l'Aviació,2395.0,"Les Corts, Barcelona",Profesional,4.0,100.0,exterior,3.0,1.0,
Alquiler de Piso en plaza del Doctor Ignasi Barraquer,1400.0,"Les Corts, Barcelona",Profesional,1.0,50.0,exterior,,1.0,
Alquiler de Piso en calle de Morales,3955.0,"Les Corts, Barcelona",Profesional,2.0,84.0,exterior,1.0,1.0,
Alquiler de Dúplex en calle de Morales,4200.0,"Les Corts, Barcelona",Profesional,3.0,135.0,exterior,Bajo,1.0,
Alquiler de Piso en calle de Guitard,2845.0,"Les Corts, Barcelona",Profesional,3.0,64.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Morales,3970.0,"Les Corts, Barcelona",Profesional,3.0,96.0,exterior,2.0,1.0,
Alquiler de Piso en Les Corts,1800.0,"Les Corts, Barcelona",Profesional,2.0,76.0,exterior,2.0,1.0,Garage optional
Alquiler de Piso en calle de Manila,3010.0,"Pedralbes, Barcelona",Profesional,1.0,75.0,interior,Entreplanta,1.0,
Alquiler de Piso en calle de Morales,3100.0,"Les Corts, Barcelona",Profesional,2.0,89.0,exterior,2.0,1.0,
Alquiler de Dúplex en calle de Morales,4945.0,"Les Corts, Barcelona",Profesional,3.0,127.0,exterior,Bajo,1.0,
Alquiler de Piso en calle de Loreto,2670.0,"Les Corts, Barcelona",Profesional,2.0,74.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Morales,3970.0,"Les Corts, Barcelona",Profesional,3.0,96.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Morales,3645.0,"Les Corts, Barcelona",Profesional,3.0,84.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Morales,3345.0,"Les Corts, Barcelona",Profesional,2.0,67.0,exterior,2.0,1.0,
Alquiler de Piso en avenida de Madrid,2985.0,"Les Corts, Barcelona",Profesional,3.0,91.0,exterior,6.0,1.0,
Alquiler de Piso en calle de Morales,5630.0,"Les Corts, Barcelona",Profesional,3.0,110.0,exterior,Bajo,1.0,
"Alquiler de Piso en calle de Numància, 84",2100.0,"Les Corts, Barcelona",Profesional,3.0,88.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de Bordeus, 27",2295.0,"Les Corts, Barcelona",Profesional,2.0,61.0,exterior,4.0,1.0,
Alquiler de Piso en avenida Diagonal,3500.0,"Pedralbes, Barcelona",Profesional,5.0,177.0,exterior,6.0,1.0,
Alquiler de Casa o chalet independiente en calle dels Cavallers,12900.0,"Pedralbes, Barcelona",Profesional,6.0,584.0,,,,Garage included
Alquiler de Ático en avenida de Pedralbes,17000.0,"Pedralbes, Barcelona",Profesional,5.0,500.0,exterior,1.0,0.0,Garage included
Alquiler de Piso en calle de Déu i Mata,2195.0,"Les Corts, Barcelona",Profesional,2.0,140.0,exterior,4.0,1.0,
Alquiler de Piso en travesía de les Corts,3450.0,"Les Corts, Barcelona",Profesional,3.0,120.0,exterior,7.0,1.0,
Alquiler de Casa o chalet independiente en calle de l'Abadessa Olzet,16000.0,"Pedralbes, Barcelona",Profesional,5.0,511.0,,,,Garage included
