Title,Price_EUR_per_month,Neighbourhood,Person,Number_of_rooms,Square_meters,Exterior_interior,Floor,Lift,Garage
Alquiler de Piso en passatge d'Olivé i Maristany,2350.0,"El Poblenou, Barcelona",Profesional,1.0,60.0,exterior,5.0,1.0,
Alquiler de Piso en Passatge d'Olivé i Maristany,2400.0,"El Poblenou, Barcelona",Profesional,2.0,70.0,exterior,4.0,1.0,
Alquiler de Piso en calle de Bac de Roda,2700.0,"El Poblenou, Barcelona",Profesional,3.0,100.0,exterior,3.0,1.0,
Alquiler de Piso en Passatge de Saladrigas,2800.0,"El Poblenou, Barcelona",Profesional,3.0,94.0,exterior,1.0,1.0,
Alquiler de Piso en plaza de Josep Rovira,2600.0,"El Clot, Barcelona",Profesional,4.0,144.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Veneçuela,1500.0,"Provençals del Poblenou, Barcelona",Profesional,3.0,75.0,exterior,7.0,1.0,
Alquiler de Piso en calle d'Espronceda,1600.0,"El Poblenou, Barcelona",Profesional,3.0,70.0,exterior,Entreplanta,1.0,
Alquiler de Piso en calle de Sant Joan de Malta,1800.0,"Provençals del Poblenou, Barcelona",Profesional,2.0,115.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Pallars,2400.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,76.0,exterior,3.0,1.0,Garage included
Alquiler de Dúplex en El Poblenou,3350.0,"Sant Martí, Barcelona",Profesional,,113.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Ramon Turró,2400.0,"La Vila Olímpica del Poblenou, Barcelona",Profesional,2.0,88.0,interior,5.0,1.0,
"Alquiler de Piso en calle de Pallars, 420",1900.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,1.0,51.0,exterior,3.0,1.0,Garage included
"Alquiler de Ático en calle de Vidal i de Valenciano, 19",7000.0,"El Poblenou, Barcelona",Profesional,2.0,169.0,exterior,14.0,1.0,Garage included
"Alquiler de Piso en avenida d'Eduard Maristany, 7",3200.0,"El Besòs, Barcelona",Profesional,3.0,100.0,exterior,5.0,1.0,Garage included
Alquiler de Piso en paseo del Taulat,3500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,3.0,100.0,exterior,1.0,1.0,Garage optional
Alquiler de Piso en calle del Doctor Trueta,1950.0,"El Poblenou, Barcelona",Profesional,1.0,69.0,interior,1.0,1.0,
Alquiler de Estudio en Provençals del Poblenou,1649.0,"Sant Martí, Barcelona",Profesional,,16.0,exterior,,1.0,
Alquiler de Estudio en Provençals del Poblenou,1940.0,"Sant Martí, Barcelona",Profesional,,26.0,exterior,,1.0,
Alquiler de Estudio en Provençals del Poblenou,1649.0,"Sant Martí, Barcelona",Profesional,,16.0,exterior,,1.0,
Alquiler de Piso en Diagonal Mar i el Front Marítim del Poblenou,4800.0,"Sant Martí, Barcelona",Profesional,3.0,140.0,exterior,,1.0,Garage included
Alquiler de Piso en Provençals del Poblenou,1775.0,"Sant Martí, Barcelona",Profesional,2.0,16.0,exterior,,1.0,
Alquiler de Estudio en Provençals del Poblenou,2050.0,"Sant Martí, Barcelona",Profesional,,31.0,exterior,,,
Alquiler de Estudio en Provençals del Poblenou,1649.0,"Sant Martí, Barcelona",Profesional,,16.0,exterior,,1.0,
Alquiler de Piso en calle de Lope de Vega,1995.0,"El Poblenou, Barcelona",Profesional,2.0,60.0,exterior,2.0,1.0,
Alquiler de Piso en calle del Doctor Trueta,1950.0,"El Poblenou, Barcelona",Profesional,1.0,69.0,interior,1.0,1.0,
Alquiler de Piso en El Besòs,3600.0,"Sant Martí, Barcelona",Profesional,3.0,101.0,exterior,,1.0,Garage included
Alquiler de Piso en Passatge de Saladrigas,2800.0,"El Poblenou, Barcelona",Profesional,3.0,94.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Provença,1300.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,1.0,35.0,exterior,4.0,1.0,
Alquiler de Piso en Passatge de Saladrigas,3200.0,"El Poblenou, Barcelona",Profesional,3.0,126.0,exterior,Bajo,1.0,
Alquiler de Piso en calle del Doctor Trueta,2000.0,"El Poblenou, Barcelona",Profesional,1.0,69.0,interior,2.0,1.0,
Alquiler de Piso en Passatge de Saladrigas,3200.0,"El Poblenou, Barcelona",Profesional,3.0,117.0,exterior,Bajo,1.0,
Alquiler de Piso en Passatge de Saladrigas,2800.0,"El Poblenou, Barcelona",Profesional,2.0,108.0,exterior,Bajo,1.0,
Alquiler de Piso en Passatge de Saladrigas,2800.0,"El Poblenou, Barcelona",Profesional,2.0,95.0,exterior,2.0,1.0,
Alquiler de Piso en Passatge de Saladrigas,2800.0,"El Poblenou, Barcelona",Profesional,3.0,92.0,exterior,1.0,1.0,
Alquiler de Piso en Passatge de Saladrigas,2200.0,"El Poblenou, Barcelona",Profesional,3.0,81.0,exterior,1.0,1.0,
Alquiler de Piso en calle del Clot,1795.0,"El Clot, Barcelona",Profesional,2.0,70.0,exterior,Bajo,,
Alquiler de Piso en calle del Perelló,3700.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,4.0,149.0,exterior,5.0,1.0,
Alquiler de Piso en calle del Joncar,2066.0,"El Poblenou, Barcelona",Profesional,3.0,87.0,exterior,3.0,1.0,Garage included
Alquiler de Piso en calle de Coll i Vehí,1400.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,2.0,58.0,exterior,2.0,0.0,
"Alquiler de Piso en calle de Pallars, 418",2100.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,68.0,exterior,4.0,1.0,Garage included
Alquiler de Piso en calle de Bac de Roda,2450.0,"El Poblenou, Barcelona",Profesional,2.0,90.0,exterior,4.0,1.0,
"Alquiler de Piso en calle de Pallars, 418",1900.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,1.0,51.0,exterior,2.0,1.0,Garage included
Alquiler de Ático en Bilbao,5000.0,"El Poblenou, Barcelona",Profesional,4.0,200.0,exterior,26.0,1.0,Garage included
"Alquiler de Piso en calle de Bilbao, 110",3990.0,"El Poblenou, Barcelona",Profesional,3.0,151.0,exterior,17.0,1.0,Garage optional
"Alquiler de Piso en calle de Rogent, 69",1850.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,3.0,73.0,exterior,3.0,1.0,
Alquiler de Piso en rambla del Poblenou,1550.0,"El Poblenou, Barcelona",Profesional,2.0,75.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Vidal i de Valenciano,2950.0,"El Poblenou, Barcelona",Profesional,1.0,55.0,exterior,2.0,1.0,Garage optional
Alquiler de Piso en calle de Fluvià,2400.0,"Provençals del Poblenou, Barcelona",Profesional,2.0,55.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Pallars,3250.0,"El Poblenou, Barcelona",Profesional,2.0,75.0,exterior,2.0,1.0,Garage optional
Alquiler de Piso en La Verneda i la Pau,1295.0,"Sant Martí, Barcelona",Profesional,2.0,89.0,,,1.0,
"Alquiler de Piso en Passatge de Saladrigas, 8 ---12",2800.0,"El Poblenou, Barcelona",Profesional,2.0,83.0,interior,Bajo,1.0,
Alquiler de Piso en calle de Salvador Espriu,3450.0,"La Vila Olímpica del Poblenou, Barcelona",Profesional,3.0,152.0,exterior,4.0,1.0,Garage included
Alquiler de Piso en calle de Vidal i de Valenciano,2330.0,"El Poblenou, Barcelona",Profesional,1.0,45.0,exterior,1.0,1.0,
"Alquiler de Piso en calle dels Almogàvers, 83",2300.0,"El Parc i la Llacuna del Poblenou, Barcelona",Profesional,3.0,86.0,exterior,5.0,1.0,
Alquiler de Piso en calle de Bilbao,3200.0,"El Poblenou, Barcelona",Profesional,2.0,70.0,exterior,1.0,1.0,
Alquiler de Piso en calle Moscou,2550.0,"La Vila Olímpica del Poblenou, Barcelona",Profesional,3.0,110.0,exterior,3.0,1.0,
Alquiler de Piso en El Camp de l'Arpa del Clot,1600.0,"Sant Martí, Barcelona",Particular,2.0,64.0,exterior,2.0,1.0,Garage included
"Alquiler de Piso en badajoz, 67",2915.0,"El Poblenou, Barcelona",Profesional,2.0,74.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de Rogent, 48",1990.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,2.0,74.0,interior,Entreplanta,0.0,
"Alquiler de Piso en Pont del Treball Digne, 11",1690.0,"Sant Martí de Provençals, Barcelona",Profesional,3.0,72.0,exterior,15.0,1.0,
"Alquiler de Piso en badajoz, 67",3251.0,"El Poblenou, Barcelona",Profesional,1.0,74.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Lope de Vega,2100.0,"El Poblenou, Barcelona",Profesional,4.0,100.0,exterior,Bajo,1.0,
"Alquiler de Piso en badajoz, 67",3251.0,"El Poblenou, Barcelona",Profesional,1.0,74.0,exterior,1.0,1.0,
"Alquiler de Piso en calle de Rogent, 69",1490.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,2.0,69.0,exterior,6.0,1.0,
"Alquiler de Piso en calle del Perelló, 56",3000.0,"El Poblenou, Barcelona",Profesional,2.0,76.0,exterior,Bajo,1.0,
"Alquiler de Piso en badajoz, 67",2915.0,"El Poblenou, Barcelona",Profesional,2.0,74.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de Nàpols, 27",1790.0,"El Parc i la Llacuna del Poblenou, Barcelona",Profesional,3.0,67.0,exterior,4.0,1.0,
"Alquiler de Piso en calle de Veneçuela, 3",2295.0,"Provençals del Poblenou, Barcelona",Profesional,2.0,84.0,exterior,6.0,1.0,Garage optional
Alquiler de Ático en El Camp de l'Arpa del Clot,1295.0,"Sant Martí, Barcelona",Profesional,2.0,59.0,exterior,9.0,1.0,
"Alquiler de Piso en calle de Marià Aguiló, 36",2000.0,"El Poblenou, Barcelona",Profesional,4.0,130.0,exterior,6.0,1.0,
"Alquiler de Ático en calle de Xifré, 117",1300.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,1.0,43.0,exterior,6.0,1.0,
Alquiler de Piso en avenida d'Eduard Maristany,2500.0,"El Besòs, Barcelona",Profesional,3.0,100.0,exterior,8.0,1.0,Garage included
Alquiler de Piso en rambla del Poblenou,2825.0,"El Poblenou, Barcelona",Profesional,2.0,75.0,interior,2.0,0.0,
Alquiler de Piso en calle de València,1300.0,"El Clot, Barcelona",Profesional,1.0,70.0,exterior,Entreplanta,1.0,
Alquiler de Piso en calle de Guipúscoa,1495.0,"Sant Martí de Provençals, Barcelona",Profesional,3.0,98.0,exterior,1.0,1.0,
Alquiler de Piso en calle de Rogent,1490.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,2.0,69.0,exterior,2.0,1.0,
"Alquiler de Piso en calle de Bilbao, 211",1710.0,"El Clot, Barcelona",Particular,4.0,108.0,exterior,1.0,1.0,Garage optional
Alquiler de Piso en El Poblenou,1650.0,"Sant Martí, Barcelona",Profesional,2.0,50.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Lope de Vega,1900.0,"El Poblenou, Barcelona",Profesional,2.0,60.0,exterior,5.0,1.0,
"Alquiler de Piso en calle de Bac de Roda, 5",1800.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Particular,2.0,90.0,exterior,4.0,1.0,
Alquiler de Ático en calle de la Marina,2600.0,"La Vila Olímpica del Poblenou, Barcelona",Profesional,3.0,153.0,exterior,5.0,1.0,
Alquiler de Casa o chalet independiente en calle de l'Agricultura,1800.0,"Provençals del Poblenou, Barcelona",Profesional,3.0,90.0,,,,
Alquiler de Casa o chalet independiente en calle de l'Agricultura,1800.0,"Provençals del Poblenou, Barcelona",Profesional,3.0,90.0,,,,
"Alquiler de Piso en avenida Diagonal, 91",2150.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,85.0,exterior,6.0,1.0,Garage included
Alquiler de Piso en calle de Llull,2600.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,82.0,exterior,11.0,1.0,
"Alquiler de Piso en paseo de garcia fària, 75",3500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,3.0,110.0,exterior,18.0,1.0,Garage included
"Alquiler de Piso en calle del Perelló, 60",2500.0,"El Poblenou, Barcelona",Profesional,2.0,70.0,interior,3.0,1.0,
Alquiler de Dúplex en calle de Lope de Vega,2350.0,"El Poblenou, Barcelona",Profesional,1.0,75.0,exterior,Entreplanta,1.0,
Alquiler de Piso en calle de la Selva de Mar,2700.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,85.0,exterior,1.0,1.0,Garage included
Alquiler de Piso en calle del Perelló,2500.0,"El Poblenou, Barcelona",Profesional,2.0,70.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Llull,2750.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,75.0,,18.0,1.0,Garage included
Alquiler de Piso en paseo del Taulat,4500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,120.0,exterior,7.0,1.0,Garage optional
Alquiler de Dúplex en calle de Lope de Vega,2350.0,"El Poblenou, Barcelona",Profesional,1.0,75.0,exterior,Bajo,1.0,
"Alquiler de Ático en calle de Llull, 350",2650.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,92.0,exterior,19.0,1.0,Garage included
Alquiler de Piso en calle de Llull,3500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,1.0,74.0,exterior,20.0,1.0,Garage included
Alquiler de Piso en calle de Provença,1750.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,2.0,72.0,exterior,4.0,1.0,
Alquiler de Piso en calle del Taulat,2000.0,"El Poblenou, Barcelona",Profesional,1.0,63.0,exterior,Bajo,0.0,
Alquiler de Piso en calle del Taulat,1445.0,"El Poblenou, Barcelona",Profesional,2.0,53.0,exterior,1.0,0.0,
"Alquiler de Piso en calle de Llull, 356",3500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,75.0,exterior,20.0,1.0,Garage included
Alquiler de Piso en paseo de Garcia Fària,7500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,4.0,150.0,exterior,22.0,1.0,Garage included
Alquiler de Piso en badajoz,3027.0,"El Poblenou, Barcelona",Profesional,2.0,74.0,exterior,3.0,1.0,
Alquiler de Piso en El Besòs,2300.0,"Sant Martí, Barcelona",Profesional,2.0,75.0,exterior,2.0,1.0,Garage included
Alquiler de Piso en calle de Pujades,1750.0,"El Poblenou, Barcelona",Profesional,3.0,81.0,,2.0,,
Alquiler de Piso en calle de Vidal i de Valenciano,2950.0,"El Poblenou, Barcelona",Profesional,1.0,56.0,exterior,1.0,1.0,Garage included
"Alquiler de Dúplex en calle del Dos de Maig, 320",1995.0,"El Camp de l'Arpa del Clot, Barcelona",silvia,3.0,160.0,exterior,Bajo,1.0,
"Alquiler de Piso en calle Gretel Ammann Martinez, 12",1800.0,"La Verneda i la Pau, Barcelona",Particular,2.0,77.0,exterior,5.0,1.0,Garage included
"Alquiler de Piso en Fluvia, 213",1250.0,"Sant Martí de Provençals, Barcelona",Profesional,1.0,55.0,exterior,Entreplanta,0.0,
Alquiler de Piso en calle de Pamplona,1550.0,"El Parc i la Llacuna del Poblenou, Barcelona",Profesional,1.0,110.0,exterior,5.0,1.0,
"Alquiler de Piso en calle de la Independència, 362",1900.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,3.0,110.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Vidal i de Valenciano,4700.0,"El Poblenou, Barcelona",Profesional,3.0,170.0,exterior,2.0,1.0,Garage included
Alquiler de Piso en calle del Perelló,2500.0,"El Poblenou, Barcelona",Profesional,2.0,70.0,exterior,3.0,1.0,
Alquiler de Piso en calle de Vidal i de Valenciano,3850.0,"El Poblenou, Barcelona",Profesional,2.0,85.0,exterior,2.0,1.0,Garage included
Alquiler de Piso en calle de Lope de Vega,2100.0,"El Poblenou, Barcelona",Profesional,1.0,55.0,exterior,2.0,1.0,
Alquiler de Piso en avenida eduard maristany,3000.0,"El Besòs, Barcelona",Profesional,3.0,80.0,exterior,5.0,1.0,Garage included
Alquiler de Piso en calle de Badajoz,4250.0,"El Poblenou, Barcelona",Profesional,2.0,88.0,exterior,2.0,0.0,
Alquiler de Piso en calle del Doctor Trueta,1800.0,"El Poblenou, Barcelona",Profesional,1.0,56.0,exterior,1.0,0.0,
"Alquiler de Estudio en calle del Doctor Trueta, 193",1738.0,"El Poblenou, Barcelona",Profesional,,30.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Pujades,1700.0,"El Poblenou, Barcelona",Profesional,2.0,55.0,exterior,1.0,0.0,
"Alquiler de Estudio en calle del Doctor Trueta, 195",1825.0,"El Poblenou, Barcelona",Profesional,,26.0,exterior,2.0,1.0,
Alquiler de Piso en calle de Josep Pla,1600.0,"El Besòs, Barcelona",Profesional,3.0,105.0,exterior,2.0,1.0,
"Alquiler de Piso en Eduardy Maristany, 7",2000.0,"El Besòs, Barcelona",Profesional,2.0,70.0,exterior,3.0,1.0,Garage included
Alquiler de Piso en paseo de Calvell,3750.0,"El Poblenou, Barcelona",Profesional,2.0,75.0,,7.0,1.0,Garage included
Alquiler de Piso en calle de Pere IV,2750.0,"El Poblenou, Barcelona",Profesional,3.0,90.0,exterior,5.0,1.0,
"Alquiler de Ático en plaza de Llevant, 1",5500.0,"El Besòs, Barcelona",Profesional,1.0,87.0,exterior,5.0,1.0,Garage included
"Alquiler de Piso en calle del Doctor Trueta, 200",1825.0,"El Poblenou, Barcelona",Profesional,1.0,26.0,interior,2.0,1.0,
Alquiler de Piso en El Besòs,2300.0,"Sant Martí, Barcelona",Profesional,2.0,72.0,exterior,2.0,1.0,Garage included
"Alquiler de Piso en Gran Vía de Les Corts Catalanes, 1084",1800.0,"Provençals del Poblenou, Barcelona",Profesional,3.0,80.0,exterior,6.0,1.0,
Alquiler de Ático en rambla del Poblenou,2100.0,"El Poblenou, Barcelona",Profesional,1.0,66.0,exterior,7.0,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,1520.0,"Sant Martí de Provençals, Barcelona",Profesional,3.0,88.0,interior,8.0,1.0,
Alquiler de Piso en paseo del Taulat,3000.0,"El Poblenou, Barcelona",Profesional,2.0,72.0,exterior,5.0,1.0,Garage included
Alquiler de Piso en calle de Puigcerdà,1275.0,"El Besòs, Barcelona",Profesional,1.0,14.0,,,1.0,Garage included
Alquiler de Estudio en rambla del Poblenou,1550.0,"El Poblenou, Barcelona",Profesional,,75.0,exterior,1.0,1.0,
Alquiler de Ático en calle de Roc Boronat,1630.0,"El Poblenou, Barcelona",Profesional,1.0,66.0,exterior,7.0,1.0,
Alquiler de Piso en paseo de Garcia Fària s/n,6500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,4.0,190.0,exterior,22.0,1.0,Garage included
Alquiler de Piso en calle de Bac de Roda,2600.0,"El Poblenou, Barcelona",Profesional,3.0,120.0,exterior,3.0,1.0,
Alquiler de Piso en Diagonal Mar i el Front Marítim del Poblenou,3900.0,"Sant Martí, Barcelona",Profesional,2.0,116.0,exterior,3.0,1.0,Garage included
Alquiler de Piso en calle de Còrsega,1900.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,3.0,110.0,exterior,3.0,1.0,
Alquiler de Piso en Gran Via de les Corts Catalanes,1500.0,"Sant Martí de Provençals, Barcelona",Profesional,3.0,90.0,exterior,5.0,1.0,
Alquiler de Piso en paseo de Garcia Fària,6400.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,4.0,220.0,exterior,5.0,1.0,Garage optional
Alquiler de Piso en paseo de Garcia Fària,3000.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,4.0,107.0,exterior,6.0,1.0,
Alquiler de Piso en avenida d'Eduard Maristany,3200.0,"El Besòs, Barcelona",Profesional,3.0,110.0,exterior,5.0,1.0,Garage included
Alquiler de Piso en calle de Bac de Roda,2450.0,"El Poblenou, Barcelona",Profesional,2.0,90.0,exterior,3.0,1.0,
Alquiler de Piso en Diagonal Mar i el Front Marítim del Poblenou,2700.0,"Sant Martí, Barcelona",Profesional,2.0,75.0,exterior,1.0,1.0,Garage included
Alquiler de Piso en calle de Provençals,1900.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,90.0,exterior,1.0,1.0,Garage included
Alquiler de Piso en calle de Bac de Roda,2450.0,"El Poblenou, Barcelona",Profesional,2.0,90.0,exterior,3.0,1.0,
Alquiler de Piso en El Besòs,2300.0,"Sant Martí, Barcelona",Profesional,2.0,80.0,exterior,3.0,1.0,Garage included
Alquiler de Piso en avenida d'Eduard Maristany,3200.0,"El Besòs, Barcelona",Profesional,3.0,110.0,exterior,5.0,1.0,Garage included
Alquiler de Ático en calle de Provença,1800.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,3.0,100.0,exterior,7.0,1.0,
Alquiler de Piso en paseo de Garcia Fària,3500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,3.0,136.0,exterior,1.0,1.0,Garage included
Alquiler de Piso en El Besòs,2800.0,"Sant Martí, Barcelona",Profesional,2.0,77.0,exterior,2.0,1.0,Garage included
Alquiler de Piso en paseo del Taulat,1780.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,71.0,exterior,4.0,1.0,
Alquiler de Piso en calle del Perelló,3600.0,"El Poblenou, Barcelona",Profesional,4.0,165.0,exterior,4.0,1.0,Garage included
Alquiler de Piso en paseo del Taulat,3200.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,83.0,exterior,3.0,1.0,Garage included
Alquiler de Piso en rambla Del Poblenou,2500.0,"El Poblenou, Barcelona",Profesional,3.0,86.0,exterior,1.0,1.0,
Alquiler de Piso en avenida d'Icària,1980.0,"La Vila Olímpica del Poblenou, Barcelona",Profesional,2.0,124.0,exterior,5.0,1.0,Garage included
Alquiler de Piso en calle del Ferrocarril,2100.0,"El Poblenou, Barcelona",Profesional,1.0,40.0,exterior,1.0,1.0,
Alquiler de Piso en calle del Doctor Trueta,3000.0,"La Vila Olímpica del Poblenou, Barcelona",Profesional,4.0,122.0,exterior,3.0,1.0,Garage included
Alquiler de Piso en El Poblenou,2500.0,"Sant Martí, Barcelona",Profesional,2.0,70.0,interior,3.0,1.0,
"Alquiler de Piso en paseo de Garcia Fària, 73",3500.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,3.0,158.0,exterior,10.0,1.0,Garage included
Alquiler de Piso en avenida Diagonal,2300.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,2.0,78.0,exterior,7.0,1.0,
Alquiler de Ático en garcia faria,9000.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,3.0,120.0,exterior,16.0,1.0,
Alquiler de Piso en Garcia Faria,6000.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Profesional,3.0,120.0,exterior,11.0,1.0,Garage included
"Alquiler de Piso en calle de Llull, 360",2950.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Dani,2.0,111.0,exterior,20.0,1.0,Garage included
"Alquiler de Piso en calle de Bilbao, 223",2100.0,"El Clot, Barcelona",Particular,4.0,109.0,exterior,2.0,1.0,Garage optional
Alquiler de Piso en El Poblenou,2500.0,"Sant Martí, Barcelona",Profesional,2.0,60.0,exterior,1.0,1.0,Garage included
"Alquiler de Piso en calle de Salvador Espriu, 75",1900.0,"La Vila Olímpica del Poblenou, Barcelona",Particular,2.0,63.0,exterior,1.0,1.0,Garage optional
Alquiler de Piso en calle Maresme,1600.0,"El Besòs, Barcelona",Profesional,3.0,75.0,exterior,7.0,1.0,
Alquiler de Piso en El Clot,1250.0,"Sant Martí, Barcelona",Profesional,1.0,55.0,exterior,3.0,1.0,
"Alquiler de Piso en calle del Doctor Trueta, 191",2450.0,"El Poblenou, Barcelona",Particular,1.0,28.0,exterior,Bajo,1.0,Garage optional
"Alquiler de Estudio en paseo de la Verneda, 97 bajos",1050.0,"La Verneda i la Pau, Barcelona",Jordi,,46.0,exterior,Bajo,0.0,
"Alquiler de Piso en calle del Doctor Trueta, 211",2100.0,"El Poblenou, Barcelona",Particular,3.0,97.0,exterior,2.0,1.0,Garage included
Alquiler de Estudio en El Parc i la Llacuna del Poblenou,1380.0,"Sant Martí, Barcelona",Profesional,,90.0,exterior,6.0,1.0,
Alquiler de Estudio en El Parc i la Llacuna del Poblenou,1380.0,"Sant Martí, Barcelona",Profesional,,90.0,exterior,6.0,1.0,
"Alquiler de Piso en calle de la Ciutat de Granada, 28",5000.0,"El Poblenou, Barcelona",Profesional,1.0,200.0,exterior,7.0,1.0,
Alquiler de Piso en calle del Marroc,1670.0,"Provençals del Poblenou, Barcelona",Profesional,1.0,60.0,exterior,5.0,1.0,
Alquiler de Estudio en calle de Provença,1300.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,,40.0,exterior,5.0,1.0,
Alquiler de Piso en Diagonal Mar i el Front Marítim del Poblenou,6500.0,"Sant Martí, Barcelona",Profesional,4.0,150.0,exterior,22.0,1.0,Garage included
Alquiler de Piso en El Poblenou,2000.0,"Sant Martí, Barcelona",Profesional,2.0,80.0,exterior,Bajo,1.0,
"Alquiler de Piso en calle Gretel Ammann Martinez, 12",1850.0,"La Verneda i la Pau, Barcelona",Profesional,2.0,61.0,exterior,3.0,1.0,Garage optional
Alquiler de Piso en calle de Puigcerdà,1550.0,"El Besòs, Barcelona",Profesional,1.0,28.0,,,1.0,
Alquiler de Piso en Diagonal Mar i el Front Marítim del Poblenou,4500.0,"Sant Martí, Barcelona",Profesional,3.0,156.0,,10.0,1.0,Garage included
"Alquiler de Piso en calle del Perelló, 56",2500.0,"El Poblenou, Barcelona",Particular,2.0,70.0,interior,3.0,1.0,
Alquiler de Estudio en calle de Provença,1390.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,,35.0,exterior,4.0,1.0,
Alquiler de Piso en El Poblenou,2300.0,"Sant Martí, Barcelona",Profesional,2.0,68.0,exterior,2.0,1.0,
Alquiler de Piso en independencia,1300.0,"El Camp de l'Arpa del Clot, Barcelona",Profesional,2.0,80.0,exterior,Entreplanta,0.0,
Alquiler de Piso en El Besòs,2800.0,"Sant Martí, Barcelona",Profesional,2.0,78.0,exterior,2.0,1.0,Garage included
Alquiler de Piso en calle del Doctor Trueta,1200.0,"El Poblenou, Barcelona",Profesional,1.0,45.0,exterior,2.0,0.0,
"Alquiler de Estudio en calle del Doctor Trueta, 191",1738.0,"El Poblenou, Barcelona",Particular,,22.0,exterior,1.0,1.0,
Alquiler de Piso en calle d'Àlaba,2000.0,"El Parc i la Llacuna del Poblenou, Barcelona",Profesional,1.0,130.0,,3.0,1.0,
"Alquiler de Piso en calle del Marroc, 62",1650.0,"Provençals del Poblenou, Barcelona",Particular,1.0,65.0,exterior,3.0,1.0,Garage optional
"Alquiler de Piso en Passatge de Mas de Roda, 5",2600.0,"El Poblenou, Barcelona",Tomas,2.0,198.0,exterior,Bajo,0.0,
"Alquiler de Piso en Fluvia, 97",2250.0,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Particular,1.0,62.0,exterior,10.0,1.0,Garage optional
Alquiler de Piso en El Poblenou,2000.0,"Sant Martí, Barcelona",Profesional,2.0,92.0,exterior,4.0,1.0,Garage included
"Alquiler de Piso en calle de València, 564",1300.0,"El Camp de l'Arpa del Clot, Barcelona",Particular,3.0,68.0,interior,1.0,1.0,
